TITLE|ISSN|ISBN|START_DATE|END_DATE|PROVIDER|URL|EMBARGO|ENUMCAPTION1|ENUMSTART1|ENUMEND1|ENUMCAPTION2|ENUMSTART2|ENUMEND2
British journal of nutrition|0007-1145||19470101||Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://journals.cambridge.org/action/displayJournal?jid=BJN|0|Volume|1||Issue|1||
American journal of transplantation|1600-6135||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=HXS&amp;scope=site|365|Volume|undef||Issue|undef||
Fathering|1537-6680||20040101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;rft.jtitle=Fathering|0|Volume|undef||Issue|undef||
Communications|1303-6009||20030101|20051231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=L2S&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Democratization|1351-0347||20000101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.tandfonline.com/openurl?stitle=fdem20&amp;genre=journal|365|Volume|undef||Issue|undef||
Communications Series C Biology and Geological Engineering|1303-6025||||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=L2U&amp;scope=site|0|Volume|||Issue|||
Immunopharmacology and immunotoxicology|0892-3973||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.informahealthcare.com/loi/ipi|365|Volume|undef||Issue|undef||
Social science journal|0362-3319||19900101|20011231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Social+Science+Journal|0|Volume|undef|undef|Issue|undef|undef|
Asia-Pacific journal on human rights and the law|1388-1906||20000101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=OD1&amp;scope=site|365|Volume|undef||Issue|undef||
Victorian literature and culture|1060-1503||19990101||Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/10601503.html|0|Volume|27||Issue|1||
