TITLE|ISSN|ISBN|START_DATE|END_DATE|PROVIDER|URL|EMBARGO|ENUMCAPTION1|ENUMSTART1|ENUMEND1|ENUMCAPTION2|ENUMSTART2|ENUMEND2
Biologist|0006-3347||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=FY6&amp;scope=site|0|Volume|undef||Issue|undef||
Canadian Journal of Physics|0008-4204||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Canadian+Journal+of+Physics&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D33131&amp;genre=journal|365|Volume|undef||Issue|undef||
The Harvard mental health letter|1057-5022||19940101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Harvard+Mental+Health+Letter|0|Volume|undef||Issue|undef||
The American city & county|0149-337X||19970101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D17280&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=The+American+city+%26+county&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D29301&amp;genre=journal|0|Volume|undef||Issue|undef||
Statistics|0233-1888||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.tandfonline.com/openurl?stitle=gsta20&amp;genre=journal|365|Volume|undef||Issue|undef||
Psychoanalytic dialogues|1048-1885||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.tandfonline.com/openurl?stitle=hpsd20&amp;genre=journal|365|Volume|undef||Issue|undef||
Current medical literature. Growth, growth hormone, & metabolism|1750-8673||20060101|20101231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=3AFV&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Pretexts|1015-549X||19990101|20031231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=56P&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Journal of investigative psychology and offender profiling|1544-4759||20040101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=TR5&amp;scope=site|365|Volume|undef||Issue|undef||
Endocrine, metabolic & immune disorders drug targets|1871-5303||20060101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=2KTR&amp;scope=site|365|Volume|undef||Issue|undef||
Central nervous system agents in medicinal chemistry|1871-5249||20060101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=2KTP&amp;scope=site|365|Volume|undef||Issue|undef||
Medical Update|0732-0183||19940101|20051231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Medical+Update&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D35985&amp;genre=journal|0|Volume|undef|undef|Issue|undef|undef|
The American journal of Chinese medicine|0192-415X||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=DYP&amp;scope=site|365|Volume|undef||Issue|undef||
Research evaluation|0958-2029||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=P91&amp;scope=site|0|Volume|undef||Issue|undef||
Women in business|0043-7441||19900101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D17280&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Women+in+business&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D11560&amp;genre=journal|0|Volume|undef||Issue|undef||
Rock Products|0747-3605||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Rock+Products&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D28698&amp;genre=journal|0|Volume|undef||Issue|undef||
Modern applications news|0277-9951||20030101|20091231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=5GR&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
International wildlife|0020-9112||19900101|20021231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=International+wildlife&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D20240&amp;genre=journal|0|Volume|undef|undef|Issue|undef|undef|
IEE proceedings. Communications|1350-2425||20030101|20061231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=bth&amp;jn=PNH&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Akademik arastirmalar dergisi|1302-2431||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=MXL&amp;scope=site|0|Volume|undef||Issue|undef||
Dreiser studies|0896-6362||19970101|20051231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=DQ9&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Electronic Journal of Natural Sciences|1728-791X||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=SZH&amp;scope=site|0|Volume|undef||Issue|undef||
Energy & fuels|0887-0624||19960101||American Chemical Society Journals|http://pubs.acs.org/loi/enfuem|0|Volume|10||Issue|1||
Journal of adult theological education|1740-7141||20040101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=ehh&amp;jn=SXW&amp;scope=site|90|Volume|undef||Issue|undef||
Fluctuation and noise letters|0219-4775||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=NKF&amp;scope=site|365|Volume|undef||Issue|undef||
Journal of algebra and its applications|0219-4988||20020101||World Scientific Journals|http://proxy.library.brocku.ca/login?url=http://www.worldscinet.com/jaa/jaa.shtml|0|Volume|1||Issue|1||
Microcomputers in civil engineering|0885-9507||||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=2Q7M&amp;scope=site|0|Volume|||Issue|||
PC world|0737-8939||19960101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=PC+world&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D16917&amp;genre=journal|0|Volume|undef||Issue|undef||
Ukrainian mathematical journal|0041-5995||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=NB6&amp;scope=site|365|Volume|undef||Issue|undef||
Soil mechanics and foundation engineering|0038-0741||20000101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=M3T&amp;scope=site|365|Volume|undef||Issue|undef||
PC magazine|0888-8507||19990101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=PC+magazine&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D17142&amp;genre=journal|0|Volume|undef||Issue|undef||
IEE proceedings. Computers and digital techniques|1350-2387||20030101|20061231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=bth&amp;jn=EBR&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Sexuality and Disability|0146-1044||19970101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Sexuality+and+Disability&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D69717&amp;genre=journal|365|Volume|undef||Issue|undef||
American letters & commentary|1049-7153||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=S3R&amp;scope=site|0|Volume|undef||Issue|undef||
Academe|0190-2946||20020101||EBSCOhost Academic Search Premier|http://www.aaup.org/AAUP/pubsres/academe/|0|Volume|undef||Issue|undef||
Astronomy letters|1063-7737||20000101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=2V1&amp;scope=site|365|Volume|undef||Issue|undef||
International affairs|0020-5850||19750101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/00205850.html|365|Volume|undef||Issue|undef||
The journal of economic and social research|1302-1060||19990101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D17280&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=The+journal+of+economic+and+social+research&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D66518&amp;genre=journal|0|Volume|undef||Issue|undef||
CNS drug reviews|1080-563X||19950101|20071231|Wiley  Online Library|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=1080-563X&amp;genre=journal|0|Volume|1|13|Issue|1|4|
Texas Heart Institute journal|0730-2347||19990101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=BKC&amp;scope=site|0|Volume|undef||Issue|undef||
The Kenyon review|0163-075X||19790101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?ctx_ver=Z39.88-2003&amp;xri:pqil:res_ver=0.2&amp;res_id=xri:lion-us&amp;rft_id=xri:lion:contents:abl_toc/KenyonReviewKenyonCollegeGambie/issues.jsp|0|Volume|undef||Issue|undef||
Physical therapy reviews|1083-3196||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=DQ1&amp;scope=site|365|Volume|undef||Issue|undef||
Psychological science in the public interest|1529-1006||20030101|20081231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/15291006.html|0|Volume|undef|undef|Issue|undef|undef|
Revista de Música Latinoamericana|0163-0350||20000101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://muse.jhu.edu/cgi-bin/resolve_openurl.cgi?genre=&amp;eissn=1536-0199&amp;issn=0163-0350|365|Volume|undef||Issue|undef||
Journal of fish diseases|0140-7775||19780101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=0140-7775&amp;genre=journal|365|Volume|undef||Issue|undef||
International journal of mental health|0020-7411||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=8CU&amp;scope=site|0|Volume|undef||Issue|undef||
Information Technology and Libraries|0730-9295||20040101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Information+Technology+and+Libraries&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D17511&amp;genre=journal|0|Volume|undef||Issue|undef||
Birth|0730-7659||19980101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=0730-7659&amp;genre=journal|365|Volume|undef||Issue|undef||
Computational and mathematical methods in medicine|1748-670X||20060101||EBSCOhost Academic Search Premier|http://www.pubmedcentral.gov/tocrender.fcgi?action=archive&amp;journal=1426|0|Volume|undef||Issue|undef||
Pulse|0048-6000||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Pulse&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D34625&amp;genre=journal|0|Volume|undef||Issue|undef||
Journal of mammalogy|0022-2372||20040101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/00222372.html|180|Volume|undef||Issue|undef||
Headway|1087-2353||19960101|19991231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=HDY&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
English in Africa|0376-8902||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/03768902.html|0|Volume|undef||Issue|undef||
Child Welfare|0009-4021||19900101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Child+Welfare&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D27849&amp;genre=journal|0|Volume|undef||Issue|undef||
National Catholic reporter|0027-8939||19930101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=National+Catholic+Reporter|0|Volume|undef||Issue|undef||
Journal of modern optics|0950-0340||19980101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.tandfonline.com/openurl?stitle=tmop20&amp;genre=journal|365|Volume|undef||Issue|undef||
Individual differences research|1541-745X||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=S8J&amp;scope=site|0|Volume|undef||Issue|undef||
Perspectives on European Politics and Society|1570-5854||20000101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=ED9&amp;scope=site|365|Volume|undef||Issue|undef||
Chemistry and technology of fuels and oils|0009-3092||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=N99&amp;scope=site|365|Volume|undef||Issue|undef||
European journal of East Asian studies|1568-0584||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=ED2&amp;scope=site|365|Volume|undef||Issue|undef||
Journal of hydrometeorology|1525-755X||20000101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=9LT&amp;scope=site|0|Volume|undef||Issue|undef||
Security and human rights|1874-7337||20080101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=5D7W&amp;scope=site|365|Volume|undef||Issue|undef||
Child development|0009-3920||19300101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/00093920.html|365|Volume|undef||Issue|undef||
WE international|1485-1571||19970101|20001231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=2SH&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Journal of Motor Behavior|0022-2895||19960101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Journal+of+Motor+Behavior|365|Volume|undef||Issue|undef||
CNS & neurological disorders - drug targets|1568-007X||20020101|20051231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=N79&amp;scope=site|0|Volume|undef|undef|Issue|undef|undef|
Cultural geographies|1474-4740||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://cgj.sagepub.com/content/by/year|0|Volume|undef||Issue|undef||
The Internet journal of oncology|1528-8331||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Internet+Journal+of+Oncology|0|Volume|undef||Issue|undef||
Bulletin of the Natural History Museum. Zoology series|0968-0470||20020101|20021231|Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://journals.cambridge.org/action/displayJournal?jid=BZO|0|Volume|68|68|Issue|1|2|
Journal of microscopy|0022-2720||19980101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.blackwell-synergy.com/openurl?issn=0022-2720&amp;genre=journal|365|Volume|undef||Issue|undef||
Contemporary accounting research|0823-9150||20000101||Wiley  Online Library|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=0823-9150&amp;genre=journal|0|Volume|17||Issue|2||
Bulletin of the Natural History Museum. Geology series|0968-0462||20020101|20031231|Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://journals.cambridge.org/action/displayJournal?jid=BGE|0|Volume|58|58|Issue|1|undef|
Harper's|0017-789X||19920101|20071231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Harper's&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D29258&amp;genre=journal|0|Volume|undef|undef|Issue|undef|undef|
Marine and freshwater behaviour and physiology|1023-6244||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.tandfonline.com/openurl?stitle=gmfw20&amp;genre=journal|365|Volume|undef||Issue|undef||
South African journal of wildlife research|0379-4369||19940101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=SOW&amp;scope=site|0|Volume|undef||Issue|undef||
South African journal of chemistry|0379-4350||19950101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=SCY&amp;scope=site|0|Volume|undef||Issue|undef||
New Atlantis|1543-1215||20080101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.lexisnexis.com/hottopics/lnacademic?sterms=PUBLICATION(New+Atlantis)&amp;verb=sr&amp;csi=276667|0|Volume|undef||Issue|undef||
Comments on Inorganic Chemistry A Journal of Critical Discussion of the Current Literature|0260-3594||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://www.tandfonline.com/openurl?stitle=gcic20&amp;genre=journal|365|Volume|undef||Issue|undef||
Parenting, science and practice|1529-5192||20010101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=K05&amp;scope=site|365|Volume|undef||Issue|undef||
Customer relationship management|1529-8728||20040101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://gateway.proquest.com/openurl?res_dat=xri%3Apqd&amp;svc_dat=xri%3Apqil%3Acontext%3Dtitle&amp;req_dat=xri%3Apqil%3Apq_clntid%3D17280&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;jtitle=Customer+relationship+management&amp;url_ver=Z39.88-2004&amp;rft_dat=xri%3Apqd%3APMID%3D59452&amp;genre=journal|0|Volume|undef||Issue|undef||
Pain practice|1530-7085||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=HYN&amp;scope=site|365|Volume|undef||Issue|undef||
Families systems & health|1091-7527||20000101|20061231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/openurl/openurl?res_id=info%3Asid%2Fgale%3AAONE&amp;req_dat=info%3Asid%2Fgale%3Augnid%3Ast46245&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&amp;ctx_enc=info%3Aofi%3Aenc%3AUTF-8&amp;url_ver=Z39.88-2004&amp;rft.jtitle=Families,+Systems+%2526+Health|0|Volume|undef|undef|Issue|undef|undef|
African Arts|0001-9933||19970101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://vnweb.hwwilsonweb.com/hww/Journals/getIssues.jhtml?sid=HWW%3AARTFT&amp;issn=0001-9933|0|Volume|undef||Issue|undef||
Theoretical and applied climatology|0177-798X||20030101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=KRR&amp;scope=site|365|Volume|undef||Issue|undef||
TCI|1063-9497||19970101|19981231|EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://vnweb.hwwilsonweb.com/hww/Journals/getIssues.jhtml?sid=HWW%3AARTFT&amp;issn=1063-9497|0|Volume|undef|undef|Issue|undef|undef|
Journal of Roman studies|0075-4358||20050101||Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/00754358.html|0|Volume|95||Issue|undef||
The journal of Hellenic studies|0075-4269||20070101||Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://www.jstor.org/journals/00754269.html|0|Volume|127||Issue|undef||
Chemical biology & drug design|1747-0277||20060101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://onlinelibrary.wiley.com/resolve/openurl?sid=vendor%3Adatabase&amp;issn=1747-0277&amp;genre=journal|365|Volume|undef||Issue|undef||
UN chronicle|0251-7329||19960101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://find.galegroup.com/itw/infomark/1/1/1/purl=rc18_CPI_0__jn+%22UN+Chronicle%22?sw_aep=st46245|0|Volume|undef||Issue|undef||
Journal of Qur'anic studies|1465-3591||20020101||EBSCOhost Academic Search Premier|http://proxy.library.brocku.ca/login?url=http://search.ebscohost.com/direct.asp?db=aph&amp;jn=I7C&amp;scope=site|365|Volume|undef||Issue|undef||
Journal of global history|1740-0228||20060101||Cambridge University Press Journals Complete|http://proxy.library.brocku.ca/login?url=http://journals.cambridge.org/action/displayJournal?jid=JGH|0|Volume|1||Issue|1||
